"日期","open","high","low","收盤價","成交量","ema12","ema26","dif","macd_signal","macd_hist","k","d","外資買賣超","投信買賣超","融資餘額"
"2026-03-04","1295.0","1320.0","1250.0","1255.0","19185365","1308.4410084465053","1241.7115709750851","66.73","66.28444242989481","0.44","57.83","68.24","-1120648","292906","5850"
"2026-03-05","1335.0","1365.0","1310.0","1335.0","13686208","1312.527007147043","1248.6218249769306","63.91","65.80859037793832","-1.9","55.22","63.9","-1505047","793000","5732"
"2026-03-06","1340.0","1345.0","1310.0","1320.0","11211730","1313.6766983551902","1253.9090972008617","59.77","64.60039253321636","-4.83","46.96","58.25","-776978","143948","5736"
"2026-03-09","1210.0","1230.0","1195.0","1220.0","23398789","1299.2648986082377","1251.3973122230202","47.87","61.253831303616586","-13.39","34.23","50.25","653780","267428","5777"
"2026-03-10","1280.0","1325.0","1275.0","1290.0","12096363","1297.839529591586","1254.2567705768706","43.58","57.71961684583633","-14.14","33.93","44.81","140147","844390","5785"
"2026-03-11","1350.0","1415.0","1325.0","1400.0","15114745","1313.5565250390343","1265.0525653489542","48.5","55.87648541468509","-7.37","48.9","46.17","-108060","270500","5938"
"2026-03-12","1390.0","1410.0","1365.0","1370.0","7808202","1322.2401365714904","1272.8264493971799","49.41","54.58392576661019","-5.17","55.94","49.43","-593219","-17000","5954"
"2026-03-13","1355.0","1405.0","1340.0","1385.0","7798371","1331.8955001758766","1281.135601293685","50.76","53.81912038972645","-3.06","63.68","54.18","267955","-178000","5871"
"2026-03-16","1395.0","1395.0","1350.0","1360.0","6238589","1336.219269379588","1286.977408605264","49.24","52.90366846664598","-3.66","67.45","58.6","-862911","-499987","5857"
"2026-03-17","1385.0","1470.0","1385.0","1440.0","13512996","1352.185535628882","1298.3124153752444","53.87","53.097558824044306","0.78","74.67","63.96","4059712","14902","5633"
"2026-03-18","1465.0","1490.0","1450.0","1465.0","11442896","1369.5416070705926","1310.659643865967","58.88","54.25443970016058","4.63","80.29","69.4","1386279","52728","5501"
"2026-03-19","1450.0","1480.0","1445.0","1455.0","8335494","1382.6890521366552","1321.3515220981176","61.34","55.67105776783598","5.67","82.9","73.9","1192833","-126002","5292"
"2026-03-20","1450.0","1530.0","1410.0","1475.0","15939579","1396.8907364233235","1332.7328908315906","64.16","57.36841533261537","6.79","81.41","76.4","2239075","-420168","5373"
"2026-03-23","1405.0","1425.0","1385.0","1410.0","13897471","1398.9075462043506","1338.456380399621","60.45","57.98496542703825","2.47","68.1","73.63","-2505849","324449","5475"
"2026-03-24","1455.0","1470.0","1410.0","1415.0","13206637","1401.3833083267582","1344.1262781477972","57.26","57.839378377422804","-0.58","58.56","68.61","2115448","263702","5368"
"2026-03-25","1485.0","1555.0","1485.0","1550.0","16571563","1424.2474147380262","1359.3761834701825","64.87","59.245748955507","5.63","71.59","69.6","6439899","196632","6118"
"2026-03-26","1535.0","1565.0","1515.0","1515.0","13856198","1438.209350932176","1370.9038735835022","67.31","60.85769463414036","6.45","73.31","70.84","-1554559","386655","5657"
"2026-03-27","1460.0","1520.0","1440.0","1510.0","10527057","1449.2540661733797","1381.2072903550948","68.05","62.295510870969274","5.75","72.02","71.23","-2273031","281352","5796"
"2026-03-30","1480.0","1495.0","1450.0","1485.0","11853740","1454.7534406082443","1388.8956392176804","65.86","63.007968974888215","2.85","66.53","69.67","-842121","88659","5607"
"2026-03-31","1465.0","1470.0","1365.0","1380.0","21389778","1443.252911283899","1388.2367029793336","55.02","61.40961684082367","-6.39","46.86","62.06","-5627184","262033","5408"
"2026-04-01","1465.0","1495.0","1450.0","1475.0","12559029","1448.1370787786839","1394.6636138697534","53.47","59.82238645444504","-6.35","49.57","57.9","440952","483474","5293"
"2026-04-02","1480.0","1510.0","1420.0","1430.0","9953601","1445.3467589665786","1397.2811239534753","48.07","57.47103616617668","-9.41","43.88","53.23","-2171503","96101","5368"
"2026-04-07","1495.0","1515.0","1490.0","1515.0","11190572","1456.0626422024895","1406.0010406976623","50.06","55.98914923390679","-5.93","54.25","53.57","3600615","-14195","5009"
"2026-04-08","1630.0","1665.0","1615.0","1665.0","13400336","1488.2068510944143","1425.1861487941317","63.02","57.39545984718197","5.63","69.5","58.88","3910159","-32964","5641"
"2026-04-09","1685.0","1705.0","1635.0","1645.0","15129409","1512.328874002966","1441.4686562908628","70.86","60.0884114201662","10.77","73.79","63.85","1053431","-97953","4902"
"2026-04-10","1690.0","1750.0","1675.0","1735.0","11557080","1546.585970310202","1463.211718787836","83.37","64.74557944060616","18.63","81.23","69.64","581401","25109","4858"
"2026-04-13","1730.0","1760.0","1710.0","1740.0","7069198","1576.341974877863","1483.7145544331815","92.63","70.32194764142125","22.31","85.8","75.03","-247239","-310456","4858"
"2026-04-14","1805.0","1820.0","1750.0","1750.0","12801739","1603.0585941274226","1503.439402252946","99.62","76.18139648803233","23.44","85.4","78.48","-2178418","-158931","5020"
"2026-04-15","1785.0","1835.0","1785.0","1785.0","12877432","1631.0495796462806","1524.2957428268016","106.75","82.29588455432165","24.46","86.25","81.07","1623342","-63648","4930"
"2026-04-16","1835.0","1845.0","1785.0","1845.0","13254811","1663.9650289314682","1548.0516137285201","115.91","89.01939068404693","26.89","90.83","84.33","2051240","-22802","4814"
"2026-04-17","1865.0","1870.0","1830.0","1840.0","10769751","1691.0473321727807","1569.677420119","121.37","95.48949495799366","25.88","91.26","86.64","-875361","357424","4804"
"2026-04-20","1860.0","1980.0","1860.0","1900.0","12064485","1723.1938964538913","1594.1457593694445","129.05","102.20122338328429","26.85","86.87","86.71","444883","25906","4660"
"2026-04-21","1950.0","2035.0","1930.0","2015.0","11917108","1768.0871431532926","1625.3201475643004","142.77","110.31437782442586","32.45","89.58","87.67","3706","1057912","4819"
"2026-04-22","2040.0","2045.0","1995.0","2015.0","10968852","1806.0737365143245","1654.1853218187966","151.89","118.62918519864628","33.26","90.35","88.56","-2393989","-67662","4944"
"2026-04-23","2100.0","2115.0","1935.0","1980.0","17431212","1832.8316232044285","1678.3197424248117","154.51","125.80572431484039","28.71","82.45","86.53","-4521647","385264","4940"
"2026-04-24","2005.0","2090.0","1990.0","2075.0","11571377","1870.0882965575934","1707.703465208159","162.38","133.1215457217592","29.26","84.65","85.9","534707","-38405","5172"
"2026-04-27","2070.0","2080.0","1995.0","2020.0","15898086","1893.1516355487329","1730.8365418594065","162.32","138.96025531527266","23.35","80.17","83.99","-3573792","-223100","5343"
"2026-04-28","2030.0","2160.0","2030.0","2125.0","15038642","1928.8206146950815","1760.033835055006","168.79","144.92556018023325","23.86","83.67","83.88","3731630","16371","5140"
"2026-04-29","2040.0","2170.0","2035.0","2165.0","12261414","1965.1559047419921","1790.0313287546353","175.12","150.96536334165796","24.16","88.62","85.46","-1104468","346958","5685"
"2026-04-30","2220.0","2280.0","2150.0","2165.0","14060511","1995.901150166301","1817.8067858839217","178.09","156.39116352980224","21.7","83.29","84.74","-663429","208000","5695"
"2026-05-04","2250.0","2260.0","2150.0","2220.0","12649019","2030.3778962945626","1847.598875818446","182.78","161.66873491906512","21.11","83.14","84.21","-369699","192851","5569"
"2026-05-05","2185.0","2195.0","2145.0","2165.0","10559120","2051.0889891723223","1871.110070202265","179.98","165.33077172926355","14.65","77.65","82.02","-4257965","213177","5763"
"2026-05-06","2215.0","2270.0","2150.0","2210.0","15562046","2075.536836991965","1896.21302796506","179.32","168.12937918879186","11.19","78.34","80.79","2676868","315354","5449"
"2026-05-07","2275.0","2370.0","2250.0","2280.0","15656408","2106.9927082239706","1924.641692560241","182.35","170.9737064837794","11.38","77.66","79.75","2351275","981481","5590"
"2026-05-08","2230.0","2250.0","2170.0","2200.0","11802071","2121.3015223433595","1945.0386042224454","176.26","172.03154881120636","4.23","70.0","76.5","-4460889","111500","5512"
"2026-05-11","2215.0","2270.0","2205.0","2245.0","9200516","2140.3320573674578","1967.2579668726346","173.07","172.24005714792972","0.83","67.74","73.58","447979","27947","5354"
"2026-05-12","2225.0","2260.0","2190.0","2195.0","13011711","2148.7425100801565","1984.1277471042913","164.61","170.71499831351684","-6.1","61.08","69.42","-4268042","256861","5454"
"2026-05-13","2160.0","2185.0","2140.0","2165.0","7659621","2151.243662375517","1997.5256917632328","153.72","167.31559277327034","-13.6","44.35","61.06","575943","-119384","5435"
"2026-05-14","2210.0","2250.0","2155.0","2155.0","7332576","2151.8215604715915","2009.1904553363265","142.63","162.37869524566926","-19.75","31.74","51.28","768418","-177012","5441"
"2026-05-15","2185.0","2195.0","2075.0","2075.0","12351492","2140.0028588605774","2014.0652364225245","125.94","155.090480684146","-29.15","21.16","41.24","-1407855","-311199","5362"
"2026-05-18","1985.0","2040.0","1985.0","2020.0","10082191","2121.5408805743346","2014.5048485393745","107.04","145.4795909543088","-38.44","17.14","33.21","121443","-120500","5323"
"2026-05-19","2020.0","2025.0","1910.0","1915.0","16288903","2089.765360485975","2007.1341190179392","82.63","132.90992105705425","-50.28","11.79","26.07","-342964","-1166315","5269"
"2026-05-20","1880.0","1960.0","1880.0","1915.0","10890054","2062.878381949671","2000.3093694610548","62.57","118.8417393433667","-56.27","10.85","20.99","101851","-1010200","5319"
"2026-05-21","2015.0","2060.0","1990.0","2030.0","11663874","2057.820169342029","2002.5086754269025","55.31","106.13569025771871","-50.82","20.05","20.68","-145614","-253291","5275"
"2026-05-22","2125.0","2125.0","2050.0","2095.0","8534359","2063.540143289409","2009.3598846545394","54.18","95.74460393314891","-41.56","32.23","24.53","-121738","-111468","5242"
